Name,Occurrences
nytimes,644
pgn,631
bst,433
wired,404
washpost,359
ars technica,328
newsscan,247
bbc,152
pdt,119
zdnet,113
the verge,94
bloomberg,79
the register,76
washpo,75
techcrunch,72
the hacker news,71
wsj,70
fortune,67
cbc,62
scientific american,58
nyt,58
gizmodo,57
pst,56
of known viruses,56
the new york times,53
engadget,53
ars,49
cnn,49
reuters,47
slashdot,46
vice,45
eff,39
cnbc,36
politico,36
the boston globe,36
techxplore.com,35
the washington post,33
nbc news,33
boingboing,33
motherboard,32
npr,31
forbes,30
propublica,29
the nytimes,28
business insider,27
npr.org,27
wol,27
phys.org,25
the atlantic,24
werner u,24
cnet,23
krebs on security,22
bleeping computer,22
ap,19
dcist,18
mit tech review,18
the times of israel,18
usa today,18
computerworld,17
the straits times,17
the hill,16
ieee spectrum,15
techxplore,15
slate,14
the new yorker,14
helo casper.sri.com,14
the telegraph,14
pcmag,14
krebs,13
medicalxpress.com,13
buzzfeed,13
threatpost,13
straits times,12
acm technews,12
medium,12
eweek,12
techdirt,12
new scientist,11
the intercept,11
jeff jonas,10
daily dot,10
ny times,10
merlyn kline,10
web informant,10
atlas obscura,10
wols,10
google,10
arstechnica,10
clive page,10
ulf lindqvist,10
softpedia,10
sciam,9
naked security,9
abc,9
nature,9
nbc,9
patch,9
avweb,9
yahoo!,8
mit technology review,8
the economist,8
cnn.com,8
axios,8
latimes,8
techbeacon,8
cyberscoop,8
nyt via monty solomon,8
bleepingcomputer,8
afp,8
macrumors,7
nnsquad,7
lifewire,7
msn,7
hpe,7
youtube,7
qz,7
tech crunch,7
defense one,7
via lw,7
daily mail,7
dkross,7
cbs,7
huffpost,7
us-cert,6
the independent,6
digital trends,6
security boulevard,6
science daily,6
torrentfreak,6
djc,6
boston globe,6
vox,6
science,6
times of israel,6
ft,6
consumerist,6
hollywood reporter,6
apple insider,6
cso,6
cbc news,6
the ny times,6
*the guardian*,6
